age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
7,7,9,9,9,9,5,5,5,5,7,7,9,7
6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857
2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631
0.03613576,0.03613576,1.300887,1.300887,1.300887,1.300887,-1.228616,-1.228616,-1.228616,-1.228616,0.03613576,0.03613576,1.300887,0.03613576
0.7355792,0.7355792,1,1,1,1,0.2596218,0.2596218,0.2596218,0.2596218,0.7355792,0.7355792,1,0.7355792
0.5144129,0.5144129,0.9033515,0.9033515,0.9033515,0.9033515,0.109608,0.109608,0.109608,0.109608,0.5144129,0.5144129,0.9033515,0.5144129
5,7,5,9,3,5,7,7,7,7,5,7,9,9
6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857,6.942857
2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631,2.500631
-1.228616,0.03613576,-1.228616,1.300887,-2.493367,-1.228616,0.03613576,0.03613576,0.03613576,0.03613576,-1.228616,0.03613576,1.300887,1.300887
0.2596218,0.7355792,0.2596218,1,0.03246031,0.2596218,0.7355792,0.7355792,0.7355792,0.7355792,0.2596218,0.7355792,1,1
0.109608,0.5144129,0.109608,0.9033515,0.006326894,0.109608,0.5144129,0.5144129,0.5144129,0.5144129,0.109608,0.5144129,0.9033515,0.9033515
