age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
15,13,12,14,14,17,15,20,10,16,21,19,14,12
19.24,19.24,19.2,19.2,19.2,19.24,19.24,19.2,19.2,19.2,19.24,19.24,19.2,19.2
9.614729,9.614729,9.573699,9.573699,9.573699,9.614729,9.614729,9.573699,9.573699,9.573699,9.614729,9.614729,9.573699,9.573699
-1.367406,-2.012408,-2.32698,-1.680597,-1.680597,-0.7224029,-1.367406,0.2585533,-2.973363,-1.034213,0.5676023,-0.07740031,-1.680597,-2.32698
0.1448126,0.04274804,0.02046785,0.08412555,0.08412555,0.3429378,0.1448126,0.7218401,0.003227224,0.2358431,0.8163197,0.5978357,0.08412555,0.02046785
0.08574911,0.02208846,0.009983169,0.04642065,0.04642065,0.2350234,0.08574911,0.60201,0.001472779,0.1505182,0.7148475,0.4691525,0.04642065,0.009983169
20,13,9,19,14,19,9,17,13,19,20,18,16,11
16,16.11111,16.11111,16.11111,16,16.11111,16.11111,16.11111,16.11111,16.11111,16,16,16,16.11111
7.868852,7.98219,7.98219,7.98219,7.868852,7.98219,7.98219,7.98219,7.98219,7.98219,7.868852,7.868852,7.868852,7.98219
1.42595,-1.10117,-2.516961,1.022515,-0.712975,1.022515,-2.516961,0.3146201,-1.10117,1.022515,1.42595,0.712975,0,-1.809066
0.9662257,0.2240871,0.0132955,0.9196679,0.3583563,0.9196679,0.0132955,0.7508962,0.2240871,0.9196679,0.9662257,0.8614708,0.6403215,0.0692198
0.9230586,0.1354113,0.005918601,0.8467315,0.2379306,0.8467315,0.005918601,0.6234749,0.1354113,0.8467315,0.9230586,0.7620694,0.5,0.03522041
3,5,4,5,5,5,5,5,5,7,4,5,5,5
5.97561,5.97561,5.268293,5.97561,5.97561,5.97561,5.97561,5.97561,5.97561,5.97561,5.268293,5.97561,5.97561,5.97561
1.524733,1.524733,1.15316,1.524733,1.524733,1.524733,1.524733,1.524733,1.524733,1.524733,1.15316,1.524733,1.524733,1.524733
-2.409789,-0.7900947,-1.181068,-0.7900947,-0.7900947,-0.7900947,-0.7900947,-0.7900947,-0.7900947,0.8295995,-1.181068,-0.7900947,-0.7900947,-0.7900947
0.06211653,0.4483038,0.3379646,0.4483038,0.4483038,0.4483038,0.4483038,0.4483038,0.4483038,1,0.3379646,0.4483038,0.4483038,0.4483038
0.007980875,0.2147362,0.1187879,0.2147362,0.2147362,0.2147362,0.2147362,0.2147362,0.2147362,0.7966174,0.1187879,0.2147362,0.2147362,0.2147362
15,16,15,14,15,16,10,16,19,13,22,15,6,15
19.24,19.25333,19.24,19.25333,19.24,19.25333,19.25333,19.25333,19.24,19.24,19.25333,19.24,19.25333,19.24
9.614729,9.628425,9.614729,9.628425,9.614729,9.628425,9.628425,9.628425,9.614729,9.614729,9.628425,9.614729,9.628425,9.614729
-1.367406,-1.048458,-1.367406,-1.693001,-1.367406,-1.048458,-2.982089,-1.048458,-0.07740031,-2.012408,0.8851734,-1.367406,-4.271176,-1.367406
0.1448126,0.2311748,0.1448126,0.08200362,0.1448126,0.2311748,0.003115007,0.2311748,0.5978357,0.04274804,0.8896569,0.1448126,1.58115e-05,0.1448126
0.08574911,0.1472139,0.08574911,0.04522759,0.08574911,0.1472139,0.001431444,0.1472139,0.4691525,0.02208846,0.8119684,0.08574911,9.722231e-06,0.08574911
14,14,13,10,16,16,12,12,15,15,17,13,6,12
16.36923,16.36923,16.50769,16.36923,16.36923,16.36923,16.36923,16.36923,16.50769,16.50769,16.50769,16.50769,16.36923,16.36923
7.986746,7.986746,8.126864,7.986746,7.986746,7.986746,7.986746,7.986746,8.126864,8.126864,8.126864,8.126864,7.986746,7.986746
-0.8383443,-0.8383443,-1.230439,-2.253731,-0.1306511,-0.1306511,-1.546038,-1.546038,-0.5288728,-0.5288728,0.1726932,-1.230439,-3.669117,-1.546038
0.3110334,0.3110334,0.1859659,0.02637455,0.5882664,0.5882664,0.1130099,0.1130099,0.4277631,0.4277631,0.7015629,0.1859659,0.0002808167,0.1130099
0.2009187,0.2009187,0.1092664,0.01210655,0.4480257,0.4480257,0.06104774,0.06104774,0.2984468,0.2984468,0.5685537,0.1092664,0.0001216946,0.06104774
8,8,8,4,8,4,6,6,8,8,8,4,4,8
6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556,6.755556
1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464,1.808464
0.925381,0.925381,0.925381,-2.049058,0.925381,-2.049058,-0.5618385,-0.5618385,0.925381,0.925381,0.925381,-2.049058,-2.049058,0.925381
1,1,1,0.09804093,1,0.09804093,0.5189552,0.5189552,1,1,1,0.09804093,0.09804093,1
0.8226161,0.8226161,0.8226161,0.02022822,0.8226161,0.02022822,0.287113,0.287113,0.8226161,0.8226161,0.8226161,0.02022822,0.02022822,0.8226161
